intent,prompt
TIMER,can you set a timer for two minutes
TIMER,"""please set 5 minute timer"
TIMER,can u please set the timer for 5 minutes
TIMER,set timer of 5 minutes
TIMER,"""can u set a timer for 5 minutes"
TIMER,set a one hour timer
TIMER,please set a timer for 20 minutes
TIMER,set a five minute timer please
TIMER,set a timer for two hours
TIMER,can you set a two hour timer
TIMER,set the timer for me please
TIMER,you need to set the timer for me
TIMER,i need you to set timer for me
TIMER,please set the timer for me
TIMER,i would like a timer set
TIMER,can you set a timer
TIMER,i need you to set a time
TIMER,i need a timer set for 15 minutes
TIMER,start a countdown for 20 minutes
TIMER,set a timer for 15 minutes
TIMER,i'll need you to set a timer for 10 minutes
TIMER,let's get a timer set for 5 minutes
TIMER,set a timer for 35 minutes
TIMER,please start counting down from 10 minutes
TIMER,let's get a timer going for 10 minutes
TIMER,i need a timer for 20 seconds
TIMER,timer 5 minutes
TIMER,alert me in 20 minutes
TIMER,give me a 10 minute countdown
TIMER,let me know in 15 minutes please
TIMER,"i'm cooking an egg, timer for 3 mins"
TIMER,10 minute timer
TIMER,start a timer for 10 minutes
TIMER,timer 10 minutes
TIMER,count down 10 minutes
TIMER,make up a timer for me
TIMER,create a timer for me
TIMER,can you set a timer for me
TIMER,i need to set a timer
TIMER,set up a timer
TIMER,could you start a timer for me
TIMER,lets set a timer for me
TIMER,please run a timer for me
TIMER,set a one minute timer
TIMER,set a five minute timer
TIMER,set a seven minute timer
TIMER,start a timer for me
TIMER,set a four minute timer
TIMER,set a six minute timer
TIMER,how do i set a timer
TIMER,i want a timer for 5 minutes
TIMER,timer for 5 minutes
TIMER,set a timer to go off in 5 minutes
TIMER,set timer for 5 minutes
TIMER,i want to set a timer
TIMER,make a timer for 5 minutes
TIMER,please set a timer for
TIMER,remind me that time is up in sixty minutes
TIMER,set an alarm for nine minutes from now
TIMER,tell me when ninety minutes have passed
TIMER,please set timer for 4 pm
TIMER,want 5 minute timer
TIMER,set 30 minute timer
TIMER,get a 3 minute timer
TIMER,"please, can you set the timer for me"
TIMER,can you please the timer
TIMER,will you set the timer
TRANSLATE,what expression would i use to say i love you if i were an italian
TRANSLATE,"can you tell me how to say 'i do not speak much spanish', in spanish"
TRANSLATE,"what is the equivalent of, 'life is good' in french"
TRANSLATE,"tell me how to say, 'it is a beautiful morning' in italian"
TRANSLATE,"if i were mongolian, how would i say that i am a tourist"
TRANSLATE,how do i say 'hotel' in finnish
TRANSLATE,"i need you to translate the sentence, 'we will be there soon' into portuguese"
TRANSLATE,please tell me how to ask for a taxi in french
TRANSLATE,"can you tell me how i would say, 'more bread please' in french"
TRANSLATE,what is the correct way to say 'i am a visitor' in french
TRANSLATE,"how would i say, 'i don't know the answer' in spanish"
TRANSLATE,i would like to know the proper way to greet an adult in portuguese
TRANSLATE,what words would i use to tell someone i am lost if i were japanese
TRANSLATE,how would i say thank you if i were russian
TRANSLATE,can you tell me how i would normally say thank you as a french person
TRANSLATE,i would like to know how to say hello in french
TRANSLATE,if i were english how would i say subway
TRANSLATE,i would i say subway if i were english
TRANSLATE,how do you say hi in french
TRANSLATE,in england how do they say subway
TRANSLATE,translate hello in french
TRANSLATE,how is hello said in french
TRANSLATE,what do you call a subway if you were english
TRANSLATE,how would i say if i were english subway
TRANSLATE,how should i say hello in french
TRANSLATE,how could i say twin in chinese
TRANSLATE,how can i say not now in spanish
TRANSLATE,what do spanish people say for the word cow
TRANSLATE,translate hello to english
TRANSLATE,how do you say goodbye in spanish
TRANSLATE,how would i say love in french
TRANSLATE,could you translate atm machine into english
TRANSLATE,please translate grocery into french for me
TRANSLATE,how do germans say goodnight
TRANSLATE,tell me how the russians say notebook
TRANSLATE,how do vietnameses people say hello
TRANSLATE,how do i say thank you in japanese
TRANSLATE,what is latin for i love you
TRANSLATE,how can i thank somebody in italian
TRANSLATE,how do i say you're welcome in chinese
TRANSLATE,translate hello english to french
TRANSLATE,what is hello in french
TRANSLATE,what phrase means goodbye in hawaii
TRANSLATE,what spanish word means hello
TRANSLATE,translate hello to french
TRANSLATE,translate english to french hello
TRANSLATE,what is the word for hello spanish
TRANSLATE,how do they say goodbye in hawaii
TRANSLATE,what's local slang for goodbye in hawaii
TRANSLATE,how do you say hello in french
TRANSLATE,tell me how to say hello in spanish
TRANSLATE,what do i say for goodbye in hawaii
TRANSLATE,translate hello into french for me
TRANSLATE,how do i say hello in french
TRANSLATE,translate for me hello into french
TRANSLATE,how would they say say goodbye in hawaii
TRANSLATE,what is spanish for hello
TRANSLATE,how would i say hello in french
TRANSLATE,how can i say i love you in italy
TRANSLATE,what is spanish for good morning
TRANSLATE,how do you say it's snowing in german
TRANSLATE,how would you say can i borrow five dollars in portuguese
TRANSLATE,do you know how to say where is the restroom in french
TRANSLATE,how would i say pleased to meet you if i were japanese
TRANSLATE,can you translate hello into swedish for me
TRANSLATE,can you translate i love you into french for me
TRANSLATE,can you translate where's the bar into irish for me
TRANSLATE,how would i say goodbye if i were norwegian
TRANSLATE,how would i say i love you if i were french
TRANSLATE,how would i say hello if i were swedish
TRANSLATE,can you translate good bye into russian for me
TRANSLATE,can you translate i have to go pee into korean for me
TRANSLATE,how would i say i'm not guilty if i were mexican
TRANSLATE,how do you say thank you in spanish
TRANSLATE,how does one say thank you in spanish
TRANSLATE,how can i say thank you in spanish
TRANSLATE,what is thank you in spanish
TRANSLATE,what is the way to say thank you in spanish
TRANSLATE,"how do they say ""who is your father"" in german"
TRANSLATE,"how do they say ""where's the bathroom"" in spanish"
TRANSLATE,"how do they say ""how's it going"" in swahili"
TRANSLATE,"how do they say ""i love you"" in japanese"
TRANSLATE,"how do they say ""what's up"" in chinese"
TRANSLATE,how do you say thank you in german
TRANSLATE,how do you say please in arabic
TRANSLATE,how do you say cat in spanish
TRANSLATE,how do you say i'm hungry in french
TRANSLATE,how do you say i need coffee in dutch
TRANSLATE,how do they say yes in brazil
TRANSLATE,can you translate cat into russian for me
TRANSLATE,can you translate bowl into russian for me
TRANSLATE,how do they say hello in france
TRANSLATE,i wanna know a phrase in spanish
TRANSLATE,can you translate bat into russian for me
TRANSLATE,how do they say no in germany
TRANSLATE,can you translate hi into spanish for me
TRANSLATE,i wanna learn a phrase in russian
TRANSLATE,how do they say hello in germany
TRANSLATE,can you translate milk into spanish for me
TRANSLATE,how do they say hello in brazil
WEATHER,what are the conditions like in orlando
WEATHER,what's the temperature like in tampa
WEATHER,what's the forecast like for pittsburgh
WEATHER,what are the conditions like in sarasota
WEATHER,what's the climate like in chicago
WEATHER,what will the temperature be tomorrow
WEATHER,will it rain today
WEATHER,will it freeze tonight
WEATHER,give me the 7 day forecast
WEATHER,is it hot outside
WEATHER,what is the weather going to be like today
WEATHER,is it going to rain today
WEATHER,what is the weather going to be like tomorrow
WEATHER,is it going to rain tonight
WEATHER,are there any tornadoes coming soon
WEATHER,is it snowing in the next two weeks
WEATHER,what is the weather like in denver
WEATHER,what is the weather like tomorrow
WEATHER,what is the record high temperature for today
WEATHER,whats the predicted weather suppose to be like
WEATHER,whats the forecast for the weather
WEATHER,what does the weather look like
WEATHER,what does the forecast look like
WEATHER,what is the weather going to be like
WEATHER,tell me this week's forecast
WEATHER,will it get over 90 degrees today
WEATHER,what's the temperature outside
WEATHER,tell me how the weather is
WEATHER,weather
WEATHER,what's the weather
WEATHER,is it raining
WEATHER,how is it outside
WEATHER,how hot will it be tomorrow
WEATHER,what is the weather for tomorrow in georgia
WEATHER,what is the forecast for this week
WEATHER,will it snow this weekend
WEATHER,is there any rain in the next 3 days
WEATHER,can you tell me what the weather will be please
WEATHER,how's the weather
WEATHER,what's the weather looking like
WEATHER,what weather should i expect
WEATHER,costa mesa current weather
WEATHER,what is the temperature in costa mesa
WEATHER,what is the weather report for costa mesa
WEATHER,weather in costa mesa
WEATHER,costa mesa weather
WEATHER,i need meteorological data for tallahassee
WEATHER,how's the weather in tallahassee
WEATHER,read me the current weather report for tallahassee
WEATHER,tell me the weather report for tallahassee
WEATHER,what's the current weather situation for tallahassee
WEATHER,what's the weekend forecast
WEATHER,can you tell me the low tonight
WEATHER,is it going to be sunny today
WEATHER,what's the highest chance of rain for today
WEATHER,how cold is it going to be tonight
WEATHER,what is the weather forecast for seattle
WEATHER,what is the weather outlook for seattle
WEATHER,what are the weather conditions in seattle
WEATHER,how is the weather in seattle
WEATHER,what is the weather report for seattle
WEATHER,can you give me info on miami weather
WEATHER,what is miami weather like
WEATHER,what can you tell me about miami weather
WEATHER,what kind of weather does miami have
WEATHER,how is the weather in miami
WEATHER,what's the weather like right now
WEATHER,give me a rundown of the weather
WEATHER,what kind of weather is there
WEATHER,tell me what the weather is like
WEATHER,when is it going to rain again
WEATHER,what is the high temperature for tomorrow
WEATHER,how many of inches of snow did my hometown get last year
WEATHER,what are the atmospheric conditions in sparks
WEATHER,is it raining in sparks
WEATHER,is it cloudy or sunny in sparks
WEATHER,is sparks experiencing bad weather right now
WEATHER,what is the weather like in sparks right now
WEATHER,what is the temp right now
WEATHER,when will it rain next
WEATHER,when is the next rain chance
WEATHER,what will the weather be this weekend
WEATHER,what s the uv index tomorrow
WEATHER,tell me today's weather forecast
WEATHER,tell me about the weather today
WEATHER,i want to know the weather forecast for today
WEATHER,what will the weather be like
WEATHER,what's the chance of rain on friday
WEATHER,is there a uv or smog alert for tomorrow
WEATHER,"is it snowing right now in richmond, va"
WEATHER,what will the low temperatures be over the weekend
WEATHER,can you let me know if it will be warm this week
WEATHER,when is the next time it is suppose to rain
WEATHER,how cold will it be tomorrow
WEATHER,what is today's high temperature predicted to be
WEATHER,how much snow will we be getting tomorrow
WEATHER,what's the current weather
WEATHER,what's it doing outside right now
WEATHER,what's today's weather going to be
WEATHER,please tell me the weather forecast
WHAT_CAN_I_ASK_YOU,what things can you help me with exactly
WHAT_CAN_I_ASK_YOU,what are the things you can help me with
WHAT_CAN_I_ASK_YOU,what exactly can you help me with
WHAT_CAN_I_ASK_YOU,what can you help me with exactly
WHAT_CAN_I_ASK_YOU,what can you help me with
WHAT_CAN_I_ASK_YOU,what kinds of questions can you answer
WHAT_CAN_I_ASK_YOU,tell me the subject areas you are familiar with
WHAT_CAN_I_ASK_YOU,what sorts of subjects are you well versed in
WHAT_CAN_I_ASK_YOU,what are the subject areas you are knowledgable in
WHAT_CAN_I_ASK_YOU,what kinds of things are you knowledgable about
WHAT_CAN_I_ASK_YOU,tell me the types of things i can ask you about
WHAT_CAN_I_ASK_YOU,what sorts of things can i ask you about
WHAT_CAN_I_ASK_YOU,tell me what you are capable of answering
WHAT_CAN_I_ASK_YOU,what sorts of queries should i give you
WHAT_CAN_I_ASK_YOU,what sorts of subjects do you know about
WHAT_CAN_I_ASK_YOU,what type of questions may i ask you
WHAT_CAN_I_ASK_YOU,which types of questions may i ask you
WHAT_CAN_I_ASK_YOU,what kind of questions may i ask you
WHAT_CAN_I_ASK_YOU,which types of questions can i ask you
WHAT_CAN_I_ASK_YOU,what kind of questions can i ask you
WHAT_CAN_I_ASK_YOU,what topics can i ask you about
WHAT_CAN_I_ASK_YOU,what information can i ask you
WHAT_CAN_I_ASK_YOU,what subjects do you know something about
WHAT_CAN_I_ASK_YOU,what kinds of questions can i ask you
WHAT_CAN_I_ASK_YOU,what types of things do you know
WHAT_CAN_I_ASK_YOU,what kind of questions do you accept
WHAT_CAN_I_ASK_YOU,what questions are permissible
WHAT_CAN_I_ASK_YOU,what can i ask you
WHAT_CAN_I_ASK_YOU,what are my list of commands
WHAT_CAN_I_ASK_YOU,what are the kinds of things you can help me with
WHAT_CAN_I_ASK_YOU,what kind of questions are you good at answering
WHAT_CAN_I_ASK_YOU,can i ask you about anything
WHAT_CAN_I_ASK_YOU,can you help me with anything i need
WHAT_CAN_I_ASK_YOU,what all can you do
WHAT_CAN_I_ASK_YOU,what things do you know about
WHAT_CAN_I_ASK_YOU,what are you able to help me with
WHAT_CAN_I_ASK_YOU,what types of things are you able to do
WHAT_CAN_I_ASK_YOU,what can you answer for me
WHAT_CAN_I_ASK_YOU,is there anything i can't ask you
WHAT_CAN_I_ASK_YOU,what questions do you respond to
WHAT_CAN_I_ASK_YOU,what should i ask you about
WHAT_CAN_I_ASK_YOU,what are you able to answer
WHAT_CAN_I_ASK_YOU,what's the sort of thing i should ask
WHAT_CAN_I_ASK_YOU,what kind of things can you answer
WHAT_CAN_I_ASK_YOU,what things can you do
WHAT_CAN_I_ASK_YOU,what can you do
WHAT_CAN_I_ASK_YOU,what types of questions do you have a response for
WHAT_CAN_I_ASK_YOU,what kinds of questions can you respond to
WHAT_CAN_I_ASK_YOU,what do you have answers for
WHAT_CAN_I_ASK_YOU,what questions am i allowed to ask
WHAT_CAN_I_ASK_YOU,what kinds of things can you do
WHAT_CAN_I_ASK_YOU,ai can you tell me what things i may ask
WHAT_CAN_I_ASK_YOU,"what can i ask you, ai"
WHAT_CAN_I_ASK_YOU,what am i able to ask the ai
WHAT_CAN_I_ASK_YOU,"ai, tell me what things i should ask of you"
WHAT_CAN_I_ASK_YOU,what sorts of things am i able to ask of you ai
WHAT_CAN_I_ASK_YOU,how can i get you to help me
WHAT_CAN_I_ASK_YOU,what types of things can i ask you
WHAT_CAN_I_ASK_YOU,what sort of things can you help me with
WHAT_CAN_I_ASK_YOU,what are you able to do
WHAT_CAN_I_ASK_YOU,what can i use you to help me with
WHAT_CAN_I_ASK_YOU,how can i use you
WHAT_CAN_I_ASK_YOU,what subjects do you know
WHAT_CAN_I_ASK_YOU,what subjects are you familiar with
WHAT_CAN_I_ASK_YOU,what subjects do you know about
WHAT_CAN_I_ASK_YOU,what types of subjects do you know
WHAT_CAN_I_ASK_YOU,what are you familiar with
WHAT_CAN_I_ASK_YOU,what do you know
WHAT_CAN_I_ASK_YOU,what subjects are you versed in
WHAT_CAN_I_ASK_YOU,can you tell me the subjects you know best
WHAT_CAN_I_ASK_YOU,tell me the subjects you're aware of
WHAT_CAN_I_ASK_YOU,let me know what subjects you comprehend well
WHAT_CAN_I_ASK_YOU,what are the sorts of things i can ask you about
WHAT_CAN_I_ASK_YOU,what questions are you programmed to answer
WHAT_CAN_I_ASK_YOU,what kinds of things can i ask you
WHAT_CAN_I_ASK_YOU,what kinds of questions can i ask of you
WHAT_CAN_I_ASK_YOU,are there certain types of questions i can ask you
WHAT_CAN_I_ASK_YOU,what kinds of things would you be able to help me with
WHAT_CAN_I_ASK_YOU,i need to know what kind of things you can help with
WHAT_CAN_I_ASK_YOU,i want to know what sort of things you can assist me with
WHAT_CAN_I_ASK_YOU,what sort of things are you able to help with
WHAT_CAN_I_ASK_YOU,let me know what you can assist me with
WHAT_CAN_I_ASK_YOU,how can i benefit from using you
WHAT_CAN_I_ASK_YOU,how can you assist me
WHAT_CAN_I_ASK_YOU,i wanna know the types of subjects are you familiar with
WHAT_CAN_I_ASK_YOU,i wish to know the types of subjects are you familiar with
WHAT_CAN_I_ASK_YOU,please inform me of the types of subjects are you familiar with
WHAT_CAN_I_ASK_YOU,what can you be asked about
WHAT_CAN_I_ASK_YOU,tell me the types of subjects are you familiar with
WHAT_CAN_I_ASK_YOU,i would like to know the types of subjects are you familiar with
WHAT_CAN_I_ASK_YOU,what can i ask you all about
WHAT_CAN_I_ASK_YOU,are you familiar with any types of subjects
WHAT_CAN_I_ASK_YOU,what skills do you have
WHAT_CAN_I_ASK_YOU,what are your capabilities
WHAT_CAN_I_ASK_YOU,what topics are you versed in
WHAT_CAN_I_ASK_YOU,what sort of stuff do you know
WHAT_CAN_I_ASK_YOU,what subjects do you know well
WHAT_CAN_I_ASK_YOU,what can i ask you to accomplish
WHAT_CAN_I_ASK_YOU,what tasks can you complete for me
WHAT_CAN_I_ASK_YOU,what type of questions are you partial to that i can ask you
YES,yep
YES,that is affirmative
YES,what you just said is true
YES,that is not false
YES,that is a fact
YES,i agree with the truth of what you just said
YES,i believe what you just said is true
YES,that would be great
YES,that would be awesome
YES,that is totally true
YES,oh yes
YES,yes that is right
YES,that is a yes
YES,that seems true
YES,positive
YES,true
YES,very true
YES,that will be true
YES,that appears true
YES,that is true
YES,it is true
YES,that is right
YES,that statement was correct
YES,i think that's true
YES,that is accurate
YES,"yes, that is it"
YES,correct
YES,the answer is yes
YES,all right
YES,it's indeed true
YES,that's a yes from me
YES,yes you are correct
YES,that's a definite yes
YES,yes that's it
YES,i vote yes
YES,that is correct
YES,"yes, that is true"
YES,"yep, that's right"
YES,yeah that's what i want
YES,you got it
YES,"yeah that's right, so true"
YES,true is my response
YES,"yes, that's affirmative"
YES,"yes, you got it"
YES,absolutely!
YES,do that
YES,absolutely correct
YES,confirm
YES,"yes, i'd really like that alot"
YES,"agreed, that's valid"
YES,"affirmative, go ahead"
YES,yes that's correct
YES,"yeah, that's how it is"
YES,"yeah, that's right"
YES,of course
YES,that's the truth
YES,exactly right
YES,"yes, that's accurate"
YES,"yes, that is accurate"
YES,"yes, that's what i want"
YES,"yes, that is a fact"
YES,"yes, that is correct"
YES,"yes, that's confirmed"
YES,indeed
YES,yes
YES,uh-huh
YES,"correct, that's true"
YES,"yes, that's correct"
YES,yeah
YES,yeap
YES,ok
YES,sure thing
YES,yes you are right
YES,yes you are
YES,yes i do like that
YES,yes that is correct
YES,yes i am
YES,i think it's true
YES,that would be yes
YES,that would be true
YES,i believe that's true
YES,uh huh
YES,"yep, that's true"
YES,"yes, that is actually true"
YES,"yes, that's it"
YES,"yes, that is right"
YES,"correct, it is affirmative"
YES,the answer to that is a resounding yes
YES,i can confirm it is affirmative
YES,my response to that is yes
YES,i have to say affirmative on that one
YES,i would have to say yes as my answer
YES,the answer to that is affirmative
YES,"that is true, yes"
YES,it is definitely affirmative
YES,is is very much true
YES,it is a true
YES,its a for sure true
YES,yes sir
YES,it's true
